index,BE,CC,ECON,EDU,EMP,HEA,HOU,VIO,AVG
Sutton,0.92,0.6,0.12,0.65,0.62,0.92,0.35,0.86,0.63
Swampscott,0.88,0.6,0.55,0.57,0.75,0.62,0.84,0.89,0.71
Swansea,0.99,0.71,0.27,0.66,0.29,0.7,0.41,0.88,0.61
Taunton,0.9,0.57,0.44,0.73,0.31,0.64,0.64,0.86,0.64
Templeton,0.96,0.67,0.22,0.55,0.36,0.79,0.27,0.87,0.59
Tewksbury,0.96,0.62,0.26,0.62,0.49,0.56,0.48,0.84,0.6
Tisbury,0.58,0.54,0.86,0.45,0.32,0.52,0.67,0.86,0.6
Tolland,0.93,0.75,0.14,0.43,0.44,0.92,0.01,0.88,0.56
Topsfield,0.97,0.62,0.25,0.55,0.78,0.73,0.58,0.89,0.67
Townsend,0.97,0.57,0.39,0.53,0.52,0.77,0.34,0.9,0.62
Truro,0.92,0.82,0.23,0.38,0.36,0.79,0.6,0.88,0.62
Tyngsborough,0.96,0.61,0.32,0.62,0.53,0.85,0.33,0.85,0.63
Tyringham,0.84,0.83,0.61,0.46,0.66,0.98,0.07,0.8,0.66
Upton,0.95,0.56,0.17,0.61,0.69,0.9,0.34,0.84,0.63
Uxbridge,0.96,0.59,0.13,0.68,0.47,0.76,0.29,0.76,0.58
Wakefield,0.89,0.63,0.31,0.63,0.62,0.68,0.47,0.85,0.64
Wales,0.97,0.64,0.43,0.7,0.38,0.88,0.64,0.9,0.69
Walpole,0.87,0.58,0.42,0.61,0.64,0.69,0.52,0.86,0.65
Waltham,0.77,0.5,0.39,0.64,0.53,0.56,0.7,0.86,0.62
Ware,0.92,0.63,0.32,0.73,0.18,0.68,0.66,0.82,0.62
Wareham,0.95,0.62,0.33,0.68,0.24,0.56,0.53,0.85,0.6
Warren,0.99,0.64,0.2,0.67,0.18,0.89,0.44,0.77,0.6
Warwick,0.96,0.78,0.22,0.15,0.33,0.9,0.61,0.74,0.59
Washington,0.93,0.69,0.03,0.49,0.58,0.89,0.12,0.86,0.57
Watertown,0.69,0.58,0.32,0.5,0.7,0.54,0.52,0.88,0.59
Wayland,0.92,0.55,0.41,0.52,0.98,0.74,0.28,0.9,0.66
Webster,0.88,0.62,0.43,0.71,0.23,0.59,0.7,0.84,0.62
Wellesley,0.77,0.48,0.73,0.54,0.91,0.35,0.36,0.88,0.63
Wellfleet,0.77,0.77,0.55,0.32,0.33,0.49,0.68,0.88,0.6
Wendell,0.87,0.66,0.81,0.43,0.52,0.89,0.74,0.68,0.7
Wenham,0.75,0.67,0.82,0.58,0.53,0.83,0.66,0.9,0.72
West Boylston,0.92,0.6,0.39,0.53,0.16,0.57,0.77,0.87,0.6
West Bridgewater,0.93,0.62,0.15,0.67,0.43,0.46,0.59,0.83,0.58
West Brookfield,0.94,0.66,0.59,0.22,0.39,0.47,0.39,0.9,0.57
West Newbury,0.94,0.63,0.27,0.48,0.75,0.97,0.24,0.86,0.64
West Springfield,0.88,0.54,0.52,0.67,0.36,0.56,0.88,0.81,0.65
West Stockbridge,0.92,0.72,0.48,0.42,0.58,0.76,0.39,0.84,0.64
West Tisbury,0.87,0.61,0.37,0.49,0.39,0.85,0.62,0.88,0.64
Westborough,0.9,0.41,0.31,0.57,0.8,0.31,0.66,0.89,0.61
Westfield,0.94,0.61,0.29,0.69,0.32,0.69,0.62,0.88,0.63
Westford,0.97,0.51,0.16,0.6,0.82,0.68,0.3,0.87,0.61
Westhampton,0.96,0.66,0.0,0.34,0.41,0.88,0.28,0.89,0.55
Westminster,0.94,0.69,0.06,0.67,0.61,0.87,0.38,0.88,0.64
